Party_Name,Total_Tons,Record_Count
Grupo Minero Del Mar De Cortes,2147600.0,79
Ep Petroecuador,2097806.77,48
Vissai Ninh Binh Jsc,1999956.44,89
Natural Oleochemicals Sdn Bhd,1760616.0,4
Nuh Cimento Sanayi A.S.,1733248.38,47
Carver Materials Canada Ltd.,1602948.05,40
"Nippon Steel Trading Co., Ltd.",1550470.95,346
Kia,1547194.48,2044
Cemtech Global Muhendislik As,1419923.92,63
Lafrage Emirates Cement Llc,1263341.0,31
Saudi Cement Co.,1245848.0,29
Cenovus Energy,1238623.86,25
Pmi Commercio International S.A. De,1233260.23,19
Suncor International Energy & Trading,1217473.8399999999,20
Zona Franca Argos S.A.S.,1211225.93,155
Neste Oil Oyj,1209627.3800000001,89
Morton Bahamas Ltd.,1173631.0,29
Hyundai Mobis,1155437.2,3002
Shell Brasil Petroleo Ltda,1136629.36,21
Akcansa Cimento San. Tic. A.S.,1130494.0,44
Galaxy Oil Fz Llc,1114641.58,53
Saint Gobain Placo Iberica Sa,1085841.0,24
National Oil Corp,1045724.8,9
Mitsui & Co. Deutschland Gmb H,1022243.84,15
Galtrade Ltd.,1016388.54,33
Duferco Sa,1002557.0,33
K And S Windsor Salt Ltd.,1001640.0,32
Kuwait Petroleum Corp.,968827.0,26
Alunorte Alumina Do Norte Do,964440.1,59
Subaru Corp.,953296.24,1105
Asociacion De Azucareros De,942866.1,28
Ergon Oil Purchasing Inc.,822734.24,12
Perstorp Oxo Ab,818894.64,27
Food Security Solutions Dmcc,818112.29,43
Statoil Brasil Oleo E Gas Ltda,803486.0,11
Formosa Ha Tinh Steel,790195.29,27
Nnpc Suppliers To Nnpc Trading Sa,784088.66,15
Qatar Chemical And Petrochemical,780026.75,17
Tengizchevroil,775545.2,19
Upm Sales Oy,768202.6,12606
Frontera Energy Colombia Corp.,752134.64,11
Jfe Shoji Trade Corp.,732382.01,295
North Coast Commodities Dmcc,731352.2,22
Puraglobe Germany Gmb H,721367.91,31
Global Trade Operations,708705.01,4
Sterling Oil Exploration Energy,701941.0,29
Mobil Producing Nigeria Unlimited,701278.56,15
Socar Trading North America,698880.9299999999,9
"Hd Hyundai Oilbank Co., Ltd.",696967.27,124
Qatar Shell Gtl Ltd.,691239.95,65
Cia Espanola De Petroleos Sa,680805.1799999999,48
Tupras Turkey Petroleum Refineries,676594.03,43
Al Ezz Dekheila Steel Co.,662264.82,51
"Sk Enmove Co., Ltd.",639383.0,137
"Emprada Mines And Minerals Pvt., Ltd.",630243.0,44
"Yamada Sangyo Co., Ltd.",623803.0,20
Stemcor London Ltd.,623198.0,18
Vissai Ninh Binh Joint Stock,607226.0,21
Sucocitrico Cutrale Ltda,600373.03,61
Scl Rotterdam,593810.91,30
Sao Martinho Sa,579938.1599999999,12
Siemens Gamesa Renewable Energy A S,570774.09,70
Df Young,563540.56,1194
"Sct Co., Ltd.",560800.0,16
Citrosuco Sa Agroindustria,559085.77,64
Transporte La Fama Sa,555707.01,15
Totalenergies Ep Nigeria Ltd.,552742.04,7
Tajo Chirripo Sa,550705.0,13
Ocp Nutricrops S.A.,547120.4,28
Unipec America,545345.22,8
Refinaria De Mataripe S.A.,542029.66,10
Refineria De Cartagena S.A.,539948.83,38
Cimsa Cimento Sanayi Ve Ticaret A.S,535504.58,45
Nnpc Trading Sa,533538.0,10
Nnpc Suppliers To Socar,532622.86,7
Metsa Board,525455.67,122
Abu Dhabi Co. For Onshore,519824.0,12
Dins Pipeline International Ltd.,515297.14999999997,88
Nippon Steel & Sumikin,515093.42,13
Star Rafineri As,513168.56,11
Compania De Hidrocarburo,507200.25,8
Thyssenkrupp Rasselstein Gmb H,502856.13,2148
Upm Pulp Sales Oy,499612.45,108
Pan American Energy Llc,493371.35,4
Imperial Oil Ltd.,487916.54,65
Rizhao Jinghua New Type Building,486700.43,42
Agroindustrias Del Balsas Sa De Cv,476124.08,15
Silcotub S.A.,474312.6,132
Sonmez Cimento Api Ve Madencilik,473434.0,19
Jaguar Land Rover Ltd.,461517.11,1295
Public Co. Orlen Lietuva,456022.27,16
Volvo Car Corp.,451943.37,765
Karachaganak Petroleum Operating,449582.70999999996,26
Pt . Dexin Steel Indonesia,437566.52,9
Biodiesel Bilbao S.L.,433066.60000000003,17
Methanol Holdings (Trinidad) Ltd.,432518.24,47
Oyak Cimento Fabrikalari Anonim Sir,432454.0,15
Braskem S.A.,430041.0,161
Vergo Enerji,428000.02,2
Nigerian National Petroleum Corp.,427925.14,8
Ampol Us Trading Llc,424284.76,30
Dead Sea Works Ltd.,420045.32,67
Aramco Trading Co.,418467.29,15
Hartree Partners (Uk) Ltd.,416285.58,16
"Five Steel (Tianjin) Tech Co., Ltd.",414857.98,1
Xin Yu (Sanya) International Tradin,412370.0,11
Cnodc Brazil Petroleo E Gas Ltda,410815.0,4
Seah Steel Corporation,406349.37,2550
Shell Brazil Petroleo Ltda,405153.61,6
Jsc Apatit,401276.54,62
Mosaic Global Sales Llc,395145.45,7
Jodco Onshore Ltd.,393762.0,16
Mitsubishi Corporation,392030.38,1915
Petrogal S.A.,390162.47,19
Adm International Sarl,386320.3,71
Ssab Emea Ab,383155.28,2189
Fca Us Llc,378985.19,651
Aramco Trading Ltd.,376242.06,16
Xin Yu (Sanya) International,375655.75,20
Totsa Total Oil Trading S.A.,373990.92,17
Kolmar Group Ag,373231.62,106
Xiamen C And D Commodity Trading,370442.99,99
Saudi Arabian Mining Co.,369474.55,14
Macquaerie Energy Canada Ltd.,368701.86,12
Raizen Energia S A,367966.14,39
"Hanwha Total Petrochemical Co., Ltd.",367446.15,23
Jsc Nevinnomyssky Azot,362587.94,23
Celulose Nipo Brasileira Sa,358192.0,57
Tianjin Sunward Building Materials,356599.0,10
El Nasr Co. For Intermediate,354500.0,28
Stemcor Usa Inc.,352288.0,8
Lhp Vietnam Technology Investment,351920.0,13
National Gypsum Canada Ltd.,349000.0,9
Tartan Oil Llc,345132.71,21
Total Sa,344643.16000000003,12
Exportadora De Sal S.A. De C.V.,342845.83999999997,25
Rotem Amfert Negev Ltd.,342627.07,82
Sumitomo Corporation,340161.75,596
